,Instrument,Business Description
0,SOLB.BR,"Solvay SA is a Belgium-based international chemical and advanced materials company. Through its subsidiaries, it operates four segments: Advanced Materials, Advanced Formulations, Performance Chemicals and Corporate & Business Services. Advanced Materials offers high-performance materials for multiple applications primarily in the automotive, aerospace, electronics, and health markets providing sustainable mobility solutions, reducing weight and improving CO2 and energy efficiency. Advanced Formulations serves primarily the consumer goods, agro and food, and energy markets offering customized specialty formulations that impact surface chemistry and alter liquid behavior while minimizing the environmental impact. Performance Chemicals specializes in chemical intermediates serving mainly the consumer goods and food markets. Corporate & Business Services includes corporate and other business services, such as the research and innovation center, and energy services."
1,ACKB.BR,"Ackermans & Van Haaren NV is a Belgium-based independent and diversified group active in different industries by investing in companies based on long-term partnerships. It operates though five segments Marine Engineering & Contracting, Private Banking, Real Estate & Senior Care, Energy & Resources, and Growth Capital. The Marine Engineering & Contracting activities range from dredging to (marine) construction to renewable energy and deep-sea minerals. Private Banking is mainly active in discretionary asset management, with a focus on entrepreneurs and liberal professions. The Real Estate & Senior Care activities range from real estate development and management to the elderly and health care. The focus of Energy & Resources is on sustainable tropical agriculture. The Growth Capital segment provides development capital to family-controlled companies with a competitive position and high growth potential."
2,ARGX.BR,"argenx SE, formerly arGEN X BV, is the Netherlands-based biopharmaceutical company. It creates and develops a pipeline of differentiated antibody therapeutics using its discovery platform, Simple Antibody, which exploits characteristics of the llama immune system. The Company develops a pipeline of antibody therapeutics focused on cancer and autoimmune indications. It includes: ARGX-110, an antibody for heme malignancies and solid tumors, which modulates functions of tumor such as cell proliferation and survival; ARGX-111, an antagonist of c-Met, a receptor tyrosine kinase involved in cell proliferation, angiogenesis and metastasis in multiple solid tumors; ARGX-112, an antigen which targets atopic dermatitis by neutralization of IL-20 and IL-22 (interleukin) mediated signaling through blockade of their common receptor, among others."
3,PROX.BR,"Proximus NV is a Belgium-based company engaged in the telecommunication, information, communication and technology (ICT) industries. It provides telephony, Internet, television and network-based ICT services through the Proximus and Scarlet brands. Also, the Company transforms a range of technologies, such as Internet of Things (IoT), Big Data, Cloud and Security, into solutions. Proximus NV operates BICS as a subsidiary, which is a voice carrier and the provider of mobile data services worldwide. Also, the Company’s subsidiary TeleSign offers Communication Platform as a Service (CPaaS). Proximus NV operates domestically and on international markets by providing services to residential, enterprise and public customers."
4,APAM.AS,"Aperam SA is a steel producer based in France. The Company is focused on producing of stainless and specialty steels, specialty products, including grain oriented (GO) and non-grain oriented (NGO) electrical steels and specialty alloys. Its three operating segments include: Stainless & Electrical Steel, Services & Solutions, and Alloys & Specialties. The Company, via subsidiaries, operates through service centres and distribution networks with customer-tailored products. Its production facilities are in Brazil, Belgium and France. The Company sells its products in over 40 countries, and to customers operating in a range of industries, including aerospace, automotive, catering, construction, household appliances, electrical engineering, industrial processes, medical, and oil & gas."
5,TNET.BR,"Telenet Group Holding NV is a Belgium-based provider of media and communication services to the public and private sectors. It is focused on television (TV), Internet and telephony. The Company’s product portfolio comprises cabled TV channel broadcasting, Internet access services, landline telephony, mobile telephony, business services, such as voice and data transmission through fiber-optic cable, coaxial cable, and wireless infrastructures intended primarily for public, health, and education facilities, and voice, data, and Internet service suppliers, among others. In addition, the Company provides its products and services to various corporations, government organizations, healthcare and educational institutions, as well as small and medium-sized enterprises. It operates Lycamobile as its mobile network, as well as Coditel Brabant Bvba And Coditel Sarl."
6,ELI.BR,"Elia Group SA, formerly known as Elia System Operator SA, is a Belgium-based electricity high-voltage transmission system operator. The Company transmits electricity over its high-voltage network from generators to large industrial consumers, as well as to distributors, which in turn feed Belgian households and businesses. It is assigned of the Belgian electricity transmission system operator under licenses issued by the federal government and the regional governments. Its grid forms are connection between France and the markets of Northern Europe. The Company operates through numerous subsidiaries and affiliated entities in Belgium, Germany, Luxemburg, The Netherlands and France, among others. It is active through Elia Grid International."
7,WDPP.BR,"Warehouses de Pauw NV (WDP) is a Belgium-based company engaged in the logistics for warehouse rentals. The Company specializes in renting of multifunctional warehouses, storerooms, logistics and distribution centers, and industrial real estate located in Belgium, as well as in other parts of Europe. Additionally, it organizes warehouses tailored to the user’s requirements, as well as designs sale and rent back operations. Apart from Belgium, the Company operates in such European countries, as the Netherlands, France, the Czech Republic and Romania."
8,AOO.BR,"Aedifica SA is a Belgium-based company engaged in the financial industry. The Company is a Regulated Real Estate Company (Belgian REIT) that aims itself as the entity active in the real estate residential sector. Its strategy is based on two demographic trends: population ageing in Western Europe and population growth in Belgium's main cities. Aedifica SA operates through two pillars in which it concentrates activities, such as senior housing in Western Europe and apartment buildings in Belgium's cities. Its two poles are concentrated in two main segments, including senior housing and apartment buildings, with a residual non-strategic segment comprising hotels and other types of building. Aedifica SA holds a German subsidiary Aedifica Asset Management GmbH, which advises and supports the Company in the development and management of its real estate portfolio in Germany. It also operates through a number healthcare sites and a care residence in the Netherlands."
9,MLXS.BR,"Melexis NV is a Belgium-based company that designs, develops, tests and markets advanced integrated semiconductor devices for use in automotive electronics systems. The Company supplies sensor, communication and driver chips with analog and digital outputs. Melexis divides its activities into four divisions: Sensors, Actuators, Wireless and Opto. The Sensors division is comprised of Hall, Pressure and Acceleration activities. The Actuators division consists of Motor Control ICs and Local Interconnect Network (LIN) Slaves. The Wireless division provides short range connectivity and identification solutions with RF (Radio Frequency) and RFID (Radio Frequency Identification) ICs. The Opto product line consists of SensorEyeC, RainLight Sensors, Automotive Imagers, and others. The Company operates through its subsidiaries and branch offices in Belgium, France, Germany, Switzerland, Bulgaria, Ukraine, the United States, Hong Kong, Philippines and Japan."
10,GBLB.BR,"Groep Brussel Lambert NV is a Belgium-based investment holding company. The Company has a diversified portfolio composed of global companies, such as Imerys, Adidas, Pernod Ricard, LafargeHolcim, Umicore and Ontex, among others. The Company operates under three business segments: Holding, which comprises the parent company and subsidiaries and its main activity is to manage investments as well as the non-consolidated operating companies and associates; Imerys, which consists of the Imerys group engaged in energy solutions & specialities, filtration & performance additives, ceramic materials, and high resistance minerals; Sienna Capital, which includes, on the one hand, under investment activities, the companies Sienna Capital, ECP, ECP II, ECP III, Sagard, Sagard II and Sagard 3, PrimeStone, Backed 1 LP and BDT Capital Partners II, among others."
11,AGES.BR,"Ageas SA is a Belgium-based international insurance company. The Company's business segments include Belgium, the United Kingdom, Continental Europe, Asia, Reinsurance and General Account. The Belgian insurance activities operate under the name of AG Insurance. The Company's business in the United Kingdom is a national provider of Nonlife insurance solutions. The Company's Continental Europe segment consists of the insurance activities of the Company in Europe, excluding Belgium and the United Kingdom. The Company operates in a number of countries in Asia with its regional office and the fully-owned subsidiary both based in Hong Kong. The Reinsurance segment operates through Intreas NV a subsidiary from the Company, which works as an internal reinsurance. The General Account comprises activities not related to the core Insurance business, such as group finance and other holding activities."
12,COFB.BR,"Cofinimmo SA is a Belgium-based closed-end Real Estate Investment Trust. The Company is specialized in rental property such as offices, healthcare properties, corporate operating properties and public properties. In addition, the Company offers a range of related services to its clients, such as facilities management, patrols and workspace management. Cofinimmo SA manages a portfolio comprising Offices located mainly in Antwerp and Brussels, Healthcare Properties located in Belgium and Germany, including Villa Sonnenmond, a Neustadt-based nursing care facility operator, Distribution Property Networks, Services, Public-Private Partnerships and Development. The Company operates through its subsidiaries."
13,GLPG.AS,"Galapagos NV is a Belgium-based clinical-stage biotechnology company. The Company is focused on the discovery and development of small molecule medicines with novel modes of action. Its pipeline comprises Phase 3, 2, 1, pre-clinical studies and discovery small-molecule and antibody programs in cystic fibrosis, inflammation, and other indications. The Company aims to develop a portfolio of clinical-stage therapies for the enhancement of existing treatment paradigms. In addition, the Company’s mission is to develop a number of medicines based on the discovery of novel targets. Galapagos NV also discovers which proteins that are involved in causing diseases such as, rheumatoid, arthritis, inflammatory bowel disease and fibrosis. Galapagos aims to develop small molecules that inhibit these targets, restore the balance and thereby positively influence the course of the disease."
14,UMI.BR,"Umicore SA is a Belgium-based global materials technology group. It focuses on application areas, such as materials science, chemistry and metallurgy. Its activities are oriented around three business areas: Catalysis, Energy & Surface technologies and Recycling. Umicore generates the majority of its revenues from clean technologies, such as emission control catalysts, materials for rechargeable batteries and photovoltaics, fuel cells and recycling. Catalysis business group also produces precious metals-based compounds for use in the fine chemicals, life science and pharmaceutical industries. The materials produced by Energy & Surface technologies can be found in a number of applications used in the production and storage of clean energy, including rechargeable batteries and photovoltaics."
15,ABI.BR,"Anheuser Busch Inbev NV (AB InBev) is a Belgium-based company engaged in the brewers industry. The Company owns a portfolio of over 400 beer brands. The Company's brand portfolio includes global brands, such as Budweiser, Corona and Stella Artois; international brands, including Beck's, Leffe and Hoegaarden, and local champions, such as Bud Light, Skol, Brahma, Antarctica, Quilmes, Victoria, Modelo Especial, Michelob Ultra, Harbin, Sedrin, Klinskoye, Sibirskaya Korona, Chernigivske, Cass and Jupiler, among others. The Company's soft drinks business consists of both own production and agreements with PepsiCo related to bottling and distribution arrangements between its various subsidiaries and PepsiCo. Ambev, which is a subsidiary of the Company, is a PepsiCo bottler. Brands that are distributed under these agreements are Pepsi, 7UP and Gatorade."
16,COLR.BR,"Etablissementen Franz Colruyt NV is a Belgian company which is engaged in retail and wholesale of food products. The Company's retail trade division includes the direct supply of products to retail customers operating through brands Colruyt, DreamBaby, BIO-planet, DreamLand and ColliShop, among others. It has a portfolio of food and non-food formats, in Belgium, France and Luxembourg. The Company also has a corporate activities division, which combines support services, processes and systems and central administration, among others."
17,SOF.BR,"Sofina SA is a Belgium-based holding company that invests, directly and indirectly, in companies from various sectors. In the sector of Energy & Services the Company has interest in GDF Suez, International Power, Exmar, bioMerieux, Suez Environnement. In the sector of Retail Sofina invests in Colruyt and Delhaize; the Consumer Goods sector includes Danone, Rapala, Chapoutier and B & W Group.The Satellite Operators division includes SES company; Finance Companies sector consists of Eurazeo, Caledonia and Luxempart; the Industry division includes Petit Forestier, Oberthur Fiduciare, Ipsos, Mersen, Touax, Deceuninck; and Alternative assets division consists of Private equity and Hedge funds. Sofina SA has a number of consolidated subsidiaries, such as Rebelco, Finabru, Sidro, Sofindev, Sofilec, Truficar, Trufidee, Tufilux, Sofina Multi Stategy, among others. Through its subsidiaries, the Company is mainly active in Belgium, Luxembourg, the Netherlands, Switzerland and Panama."
18,KBC.BR,"KBC Groep NV is a Belgium-based holding company engaged in the banking, insurance and asset management sector. The Company’s activities are divided into the following divisions: Belgium, comprising retail and private banking and insurance, asset management and private banking in Belgium; Central & Eastern Europe and Russia, comprising retail bank insurance and merchant banking activities in the Czech Republic, Slovakia, Hungary and Poland, as well as bank-insurance, leasing, asset management and factoring in Bulgaria; Merchant Banking, consisting of corporate banking and market activities in Europe, and Shared Services and Operations providing support and products to other business units. Each of these units has its own management committee and oversees both the banking and the insurance activities. Its subsidiaries include Interlease EAD, United Bulgarian Bank AD Sofia and Telindus ISIT BV, among others."
19,UCB.BR,"Ucb SA is a Belgium-based biopharmaceutical and specialty chemical company that specializes in two therapeutic areas: diseases of the central nervous system (CNS) and immunology. In the area of central nervous system disorders, the Company is focused on epilepsy, diabetic neuropathic pain, multiple sclerosis, fibromyalgia, restless legs syndrome and Parkinson’s disease, and the area of immunology includes, bone loss disorders, Crohn’s disease, rheumatoid arthritis and respiratory disease. In addition to its core fields of business, Ucb SA delivers molecule solutions to specialists for use in the treatment of severe diseases. Its product portfolio includes drugs, such as Neupro, Vimpat, Cimzia, among others. Ucb SA also operates in primary care to support specialist products that are administered by primary care physicians."
